cohort,event_category,count,percentage
7-month-olds,Toy_Only,1,4.545454545454546
7-month-olds,Man_Only,1,4.545454545454546
7-month-olds,Woman_Only,0,0.0
7-month-olds,Other,1,4.545454545454546
7-month-olds,Man_Toy,1,4.545454545454546
7-month-olds,Woman_Toy,5,22.727272727272727
7-month-olds,Woman_Man,4,18.181818181818183
7-month-olds,Full_Trifecta,9,40.909090909090914
8-month-olds,Toy_Only,0,0.0
8-month-olds,Man_Only,2,8.695652173913043
8-month-olds,Woman_Only,1,4.3478260869565215
8-month-olds,Other,0,0.0
8-month-olds,Man_Toy,0,0.0
8-month-olds,Woman_Toy,8,34.78260869565217
8-month-olds,Woman_Man,1,4.3478260869565215
8-month-olds,Full_Trifecta,11,47.82608695652174
9-month-olds,Toy_Only,0,0.0
9-month-olds,Man_Only,0,0.0
9-month-olds,Woman_Only,1,5.0
9-month-olds,Other,0,0.0
9-month-olds,Man_Toy,3,15.0
9-month-olds,Woman_Toy,7,35.0
9-month-olds,Woman_Man,2,10.0
9-month-olds,Full_Trifecta,7,35.0
10-month-olds,Toy_Only,0,0.0
10-month-olds,Man_Only,2,6.0606060606060606
10-month-olds,Woman_Only,0,0.0
10-month-olds,Other,0,0.0
10-month-olds,Man_Toy,3,9.090909090909092
10-month-olds,Woman_Toy,11,33.33333333333333
10-month-olds,Woman_Man,2,6.0606060606060606
10-month-olds,Full_Trifecta,15,45.45454545454545
11-month-olds,Toy_Only,0,0.0
11-month-olds,Man_Only,2,7.6923076923076925
11-month-olds,Woman_Only,0,0.0
11-month-olds,Other,0,0.0
11-month-olds,Man_Toy,1,3.8461538461538463
11-month-olds,Woman_Toy,5,19.230769230769234
11-month-olds,Woman_Man,2,7.6923076923076925
11-month-olds,Full_Trifecta,16,61.53846153846154
Adults,Toy_Only,0,0.0
Adults,Man_Only,1,2.1739130434782608
Adults,Woman_Only,3,6.521739130434782
Adults,Other,0,0.0
Adults,Man_Toy,1,2.1739130434782608
Adults,Woman_Toy,3,6.521739130434782
Adults,Woman_Man,10,21.73913043478261
Adults,Full_Trifecta,28,60.86956521739131
