cohort,event_category,count,percentage
7-month-olds,Toy_Only,2,22.22222222222222
7-month-olds,Man_Only,2,22.22222222222222
7-month-olds,Woman_Only,0,0.0
7-month-olds,Other,0,0.0
7-month-olds,Man_Toy,3,33.33333333333333
7-month-olds,Woman_Toy,0,0.0
7-month-olds,Woman_Man,1,11.11111111111111
7-month-olds,Full_Trifecta,1,11.11111111111111
8-month-olds,Toy_Only,4,18.181818181818183
8-month-olds,Man_Only,4,18.181818181818183
8-month-olds,Woman_Only,0,0.0
8-month-olds,Other,0,0.0
8-month-olds,Man_Toy,5,22.727272727272727
8-month-olds,Woman_Toy,2,9.090909090909092
8-month-olds,Woman_Man,1,4.545454545454546
8-month-olds,Full_Trifecta,6,27.27272727272727
9-month-olds,Toy_Only,2,7.6923076923076925
9-month-olds,Man_Only,0,0.0
9-month-olds,Woman_Only,1,3.8461538461538463
9-month-olds,Other,0,0.0
9-month-olds,Man_Toy,6,23.076923076923077
9-month-olds,Woman_Toy,6,23.076923076923077
9-month-olds,Woman_Man,1,3.8461538461538463
9-month-olds,Full_Trifecta,10,38.46153846153847
10-month-olds,Toy_Only,0,0.0
10-month-olds,Man_Only,6,17.647058823529413
10-month-olds,Woman_Only,0,0.0
10-month-olds,Other,0,0.0
10-month-olds,Man_Toy,8,23.52941176470588
10-month-olds,Woman_Toy,2,5.88235294117647
10-month-olds,Woman_Man,1,2.941176470588235
10-month-olds,Full_Trifecta,17,50.0
11-month-olds,Toy_Only,4,16.0
11-month-olds,Man_Only,1,4.0
11-month-olds,Woman_Only,0,0.0
11-month-olds,Other,0,0.0
11-month-olds,Man_Toy,7,28.000000000000004
11-month-olds,Woman_Toy,3,12.0
11-month-olds,Woman_Man,0,0.0
11-month-olds,Full_Trifecta,10,40.0
Adults,Toy_Only,10,21.73913043478261
Adults,Man_Only,0,0.0
Adults,Woman_Only,0,0.0
Adults,Other,0,0.0
Adults,Man_Toy,9,19.565217391304348
Adults,Woman_Toy,6,13.043478260869565
Adults,Woman_Man,0,0.0
Adults,Full_Trifecta,21,45.65217391304348
